issue_id,epic,title,type,priority,depends_on,labels,acceptance_criteria
TL-027,P0-5,Implement batch review state and escalation,story,P0,TL-025;TL-026,"review,workflow",reviewer finishes eligible batch while escalations route independently
TL-028,P0-5,Implement Domain Command Bus,story,P0,TL-009;TL-025,"domain,commands",all human and agent writes use typed authorized commands
TL-029,P0-5,Implement ExecutionReceipt verification and compensation,story,P0,TL-028,"execution,reliability","attempts, pending verification, atomic groups, and compensation recorded"
TL-030,P0-7,Create deterministic manual ChangeSet fixture path,story,P0,TL-027;TL-028,"review,test",review UX and command semantics proven without an LLM
TL-031,P0-7,Implement engagement extraction schema and verifier,story,P0,TL-016;TL-022;TL-024,"extraction,ai",only allowed entities/states; citations and dates verified server-side
TL-032,P0-7,Build transcript-scale batch review UI,story,P0,TL-027;TL-030;TL-031,"ui,review","30–50 items grouped into attention, ready, and escalation buckets"
TL-033,P0-7,Add normal discovery transcript evaluation,test,P0,TL-031;TL-032,"fixture,evaluation",expected claims and impact classes pass thresholds
TL-034,P0-7,Add conflict-heavy workshop evaluation,test,P0,TL-031;TL-032,"fixture,evaluation","conflicts, ambiguous dates, and supersession are foregrounded"
TL-035,P0-7,Add adversarial injection evaluation,test,P0,TL-024;TL-031;TL-032,"fixture,security",malicious instructions cannot create tool intent or hide consequential items
TL-036,P0-6,Implement adapter registry and Capability Broker,story,P0,TL-009;TL-024,"mcp,integration",trusted capability manifests mediate all external tools
TL-037,P0-6,Implement mock AccountIntelligenceProvider,story,P0,TL-036,"adapter,contract",mock returns provenance-bearing canonical contract
TL-038,P0-6,Implement Account Research MCP adapter,story,P0,TL-036;TL-037,"mcp,adapter",read-only provider passes same contract and cannot create facts
TL-039,P0-8,Implement exact Space-scoped hybrid retrieval,story,P0,TL-010;TL-019;TL-020,"search,security",retrieval only searches currently authorized Spaces
TL-040,P0-8,Implement cited organization and initiative summaries,story,P0,TL-020;TL-039,"summary,derived-view",material assertion links to verified source and respects current permissions
TL-041,P0-8,Implement asymmetric-access regression suite,test,P0,TL-039;TL-040,"security,search",restricted child Space has no influence on other user outputs or counts
TL-042,P0-8,Implement Today and minimal Pulse,story,P0,TL-027;TL-040,"ui,pulse","reviews, commitments, changes, and unblock needs shown without activity scoring"
TL-043,P0-8,Automate Phase 0 demo from clean environment,test,P0,TL-003;TL-010;TL-032;TL-038;TL-042,"demo,e2e",scripted proof passes end-to-end with adapter disabled and switched
